identifier_vote,date,report,desc,title,for,against,abstention,committee,oeil,mepid,lastname,firstname,result,epgroup,party,start,end,birthdate,country,term
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7020,PIRBAKAS,Maxette,abstention,ID,Rassemblement national,2019-07-02,NA,1975-04-14,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6836,KOLAKUŠIĆ,Mislav,abstention,NA,-,2019-07-02,NA,1969-09-15,hr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7207,DONATO,Francesca,abstention,NA,Independent,2019-07-02,NA,1969-08-25,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7071,COLLARD,Gilbert,abstention,ID,Rassemblement national,2019-07-02,NA,1948-02-03,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6394,BAY,Nicolas,abstention,ID,Rassemblement national,2019-07-02,NA,1977-12-21,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6414,ZANNI,Marco,abstention,ID,Lega,2019-07-02,NA,1986-07-11,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6976,ZAMBELLI,Stefania,abstention,ID,Lega,2019-07-02,NA,1971-04-06,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6970,TOVAGLIERI,Isabella,abstention,ID,Lega,2019-07-02,NA,1987-06-25,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7191,TARDINO,Annalisa,abstention,ID,Lega,2019-07-02,NA,1979-04-30,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6968,SARDONE,Silvia,abstention,ID,Lega,2019-07-02,NA,1982-12-25,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7078,ROUGÉ,André,abstention,ID,Rassemblement national,2019-07-02,NA,1961-12-23,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7171,RINALDI,Antonio Maria,abstention,ID,Lega,2019-07-02,NA,1955-02-27,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6979,PANZA,Alessandro,abstention,ID,Lega,2019-07-02,NA,1982-05-15,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7075,OLIVIER,Philippe,abstention,ID,Rassemblement national,2019-07-02,NA,1961-08-30,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6399,MÉLIN,Joëlle,abstention,ID,Rassemblement national,2019-07-02,NA,1950-03-26,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7013,MARIANI,Thierry,abstention,ID,Rassemblement national,2019-07-02,NA,1958-08-08,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7002,LIZZI,Elena,abstention,ID,Lega,2019-07-02,NA,1967-10-30,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7074,LECHANTEUX,Julie,abstention,ID,Rassemblement national,2019-07-02,NA,1977-12-22,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6372,LEBRETON,Gilles,abstention,ID,Rassemblement national,2019-07-02,NA,1958-10-11,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6990,LAPORTE,Hélène,abstention,ID,Rassemblement national,2019-07-02,NA,1978-12-29,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6771,LANCINI,Danilo Oscar,abstention,ID,Lega,2019-07-02,NA,1965-10-15,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7275,LACAPELLE,Jean-Lin,abstention,ID,Rassemblement national,2020-02-01,NA,1967-04-17,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7016,JUVIN,Herve,abstention,ID,Rassemblement national,2019-07-02,NA,1956-01-29,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7017,JORON,Virginie,abstention,ID,Rassemblement national,2019-07-02,NA,1973-12-11,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6751,JAMET,France,abstention,ID,Rassemblement national,2019-07-02,NA,1961-02-05,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6404,JALKH,Jean-François,abstention,ID,Rassemblement national,2019-07-02,NA,1957-05-23,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7019,GRISET,Catherine,abstention,ID,Rassemblement national,2019-07-02,NA,1972-08-20,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7018,GARRAUD,Jean-Paul,abstention,ID,Rassemblement national,2019-07-02,NA,1956-02-27,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6972,GANCIA,Gianna,abstention,ID,Lega,2019-07-02,NA,1972-12-31,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7005,DREOSTO,Marco,abstention,ID,Lega,2019-07-02,NA,1969-03-18,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6999,DA RE,Gianantonio,abstention,ID,Lega,2019-07-02,NA,1953-09-06,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7007,CONTE,Rosanna,abstention,ID,Lega,2019-07-02,NA,1968-04-17,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6731,CIOCCA,Angelo,abstention,ID,Lega,2019-07-02,NA,1975-06-28,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7170,CECCARDI,Susanna,abstention,ID,Lega,2019-07-02,NA,1987-03-19,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7181,CASANOVA,Massimo,abstention,ID,Lega,2019-07-02,NA,1970-08-31,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6981,CAMPOMENOSI,Marco,abstention,ID,Lega,2019-07-02,NA,1975-09-02,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7076,BRUNA,Annika,abstention,ID,Rassemblement national,2019-07-02,NA,1956-11-26,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7000,BORCHIA,Paolo,abstention,ID,Lega,2019-07-02,NA,1980-05-27,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6179,BIZZOTTO,Mara,abstention,ID,Lega,2019-07-02,NA,1972-06-03,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6405,BILDE,Dominique,abstention,ID,Rassemblement national,2019-07-02,NA,1953-08-01,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7068,BEIGNEUX,Aurélia,abstention,ID,Rassemblement national,2019-07-02,NA,1980-06-02,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7001,BASSO,Alessandra,abstention,ID,Lega,2019-07-02,NA,1967-03-14,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6988,BARDELLA,Jordan,abstention,ID,Rassemblement national,2019-07-02,NA,1995-09-13,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7174,BALDASSARRE,Simona,abstention,ID,Lega,2019-07-02,NA,1970-11-12,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7079,ANDROUËT,Mathilde,abstention,ID,Rassemblement national,2019-07-02,NA,1984-07-03,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6522,ZŁOTOWSKI,Kosma,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1964-01-14,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5598,ZĪLE,Roberts,abstention,ECR,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",2019-07-02,NA,1958-06-20,lv,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6962,ZALEWSKA,Anna,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1965-07-06,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6515,WIŚNIEWSKA,Jadwiga,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1963-07-02,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6956,WASZCZYKOWSKI,Witold Jan,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1957-05-05,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6952,TOBISZOWSKI,Grzegorz,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1965-11-01,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7265,TARCZYŃSKI,Dominik,abstention,ECR,Prawo i Sprawiedliwość,2020-02-01,NA,NA,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6946,SZYDŁO,Beata,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1963-04-15,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7210,STANCANELLI,Raffaele,abstention,ECR,Fratelli d'Italia,2019-07-02,NA,1950-06-30,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7262,SOFO,Vincenzo,abstention,ECR,Fratelli d'Italia,2021-06-07,NA,1986-12-18,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5416,SARYUSZ-WOLSKI,Jacek,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1948-09-19,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6938,RZOŃCA,Bogdan,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1961-02-01,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6937,RAFALSKA,Elżbieta,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1955-06-22,pl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7205,PROCACCINI,Nicola,abstention,ECR,Fratelli d'Italia,2019-07-02,NA,1976-01-21,it,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5974,PORĘBA,Tomasz Piotr,abstention,ECR,Prawo i Sprawiedliwość,2019-07-02,NA,1973-03-31,pl,9
